holiday,total,timestamp,item_id,dow
1,296.0,1/1/2016,Restaurant_Visitors,4
0,191.0,1/2/2016,Restaurant_Visitors,5
0,202.0,1/3/2016,Restaurant_Visitors,6
0,105.0,1/4/2016,Restaurant_Visitors,0
0,98.0,1/5/2016,Restaurant_Visitors,1
0,83.0,1/6/2016,Restaurant_Visitors,2
0,69.0,1/7/2016,Restaurant_Visitors,3
0,149.0,1/8/2016,Restaurant_Visitors,4
0,234.0,1/9/2016,Restaurant_Visitors,5
0,212.0,1/10/2016,Restaurant_Visitors,6
0,101.0,1/11/2016,Restaurant_Visitors,0
0,57.0,1/12/2016,Restaurant_Visitors,1
0,65.0,1/13/2016,Restaurant_Visitors,2
0,106.0,1/14/2016,Restaurant_Visitors,3
0,95.0,1/15/2016,Restaurant_Visitors,4
0,237.0,1/16/2016,Restaurant_Visitors,5
0,197.0,1/17/2016,Restaurant_Visitors,6
1,132.0,1/18/2016,Restaurant_Visitors,0
0,100.0,1/19/2016,Restaurant_Visitors,1
0,107.0,1/20/2016,Restaurant_Visitors,2
0,106.0,1/21/2016,Restaurant_Visitors,3
0,161.0,1/22/2016,Restaurant_Visitors,4
0,188.0,1/23/2016,Restaurant_Visitors,5
0,205.0,1/24/2016,Restaurant_Visitors,6
0,95.0,1/25/2016,Restaurant_Visitors,0
0,76.0,1/26/2016,Restaurant_Visitors,1
0,105.0,1/27/2016,Restaurant_Visitors,2
0,95.0,1/28/2016,Restaurant_Visitors,3
0,150.0,1/29/2016,Restaurant_Visitors,4
0,225.0,1/30/2016,Restaurant_Visitors,5
0,204.0,1/31/2016,Restaurant_Visitors,6
0,94.0,2/1/2016,Restaurant_Visitors,0
1,100.0,2/2/2016,Restaurant_Visitors,1
0,72.0,2/3/2016,Restaurant_Visitors,2
0,97.0,2/4/2016,Restaurant_Visitors,3
0,147.0,2/5/2016,Restaurant_Visitors,4
0,254.0,2/6/2016,Restaurant_Visitors,5
0,177.0,2/7/2016,Restaurant_Visitors,6
0,68.0,2/8/2016,Restaurant_Visitors,0
0,133.0,2/9/2016,Restaurant_Visitors,1
0,107.0,2/10/2016,Restaurant_Visitors,2
0,176.0,2/11/2016,Restaurant_Visitors,3
0,139.0,2/12/2016,Restaurant_Visitors,4
0,227.0,2/13/2016,Restaurant_Visitors,5
1,230.0,2/14/2016,Restaurant_Visitors,6
1,112.0,2/15/2016,Restaurant_Visitors,0
0,91.0,2/16/2016,Restaurant_Visitors,1
0,112.0,2/17/2016,Restaurant_Visitors,2
0,118.0,2/18/2016,Restaurant_Visitors,3
0,167.0,2/19/2016,Restaurant_Visitors,4
0,213.0,2/20/2016,Restaurant_Visitors,5
0,147.0,2/21/2016,Restaurant_Visitors,6
0,70.0,2/22/2016,Restaurant_Visitors,0
0,106.0,2/23/2016,Restaurant_Visitors,1
0,95.0,2/24/2016,Restaurant_Visitors,2
0,130.0,2/25/2016,Restaurant_Visitors,3
0,182.0,2/26/2016,Restaurant_Visitors,4
0,298.0,2/27/2016,Restaurant_Visitors,5
0,196.0,2/28/2016,Restaurant_Visitors,6
0,113.0,2/29/2016,Restaurant_Visitors,0
0,97.0,3/1/2016,Restaurant_Visitors,1
0,68.0,3/2/2016,Restaurant_Visitors,2
0,88.0,3/3/2016,Restaurant_Visitors,3
0,135.0,3/4/2016,Restaurant_Visitors,4
0,254.0,3/5/2016,Restaurant_Visitors,5
0,192.0,3/6/2016,Restaurant_Visitors,6
0,63.0,3/7/2016,Restaurant_Visitors,0
0,152.0,3/8/2016,Restaurant_Visitors,1
0,56.0,3/9/2016,Restaurant_Visitors,2
0,102.0,3/10/2016,Restaurant_Visitors,3
0,118.0,3/11/2016,Restaurant_Visitors,4
0,276.0,3/12/2016,Restaurant_Visitors,5
0,188.0,3/13/2016,Restaurant_Visitors,6
0,56.0,3/14/2016,Restaurant_Visitors,0
0,98.0,3/15/2016,Restaurant_Visitors,1
0,92.0,3/16/2016,Restaurant_Visitors,2
1,209.0,3/17/2016,Restaurant_Visitors,3
0,184.0,3/18/2016,Restaurant_Visitors,4
0,236.0,3/19/2016,Restaurant_Visitors,5
0,222.0,3/20/2016,Restaurant_Visitors,6
0,131.0,3/21/2016,Restaurant_Visitors,0
0,98.0,3/22/2016,Restaurant_Visitors,1
0,101.0,3/23/2016,Restaurant_Visitors,2
0,126.0,3/24/2016,Restaurant_Visitors,3
1,271.0,3/25/2016,Restaurant_Visitors,4
0,292.0,3/26/2016,Restaurant_Visitors,5
1,237.0,3/27/2016,Restaurant_Visitors,6
1,158.0,3/28/2016,Restaurant_Visitors,0
0,165.0,3/29/2016,Restaurant_Visitors,1
0,103.0,3/30/2016,Restaurant_Visitors,2
0,100.0,3/31/2016,Restaurant_Visitors,3
0,125.0,4/1/2016,Restaurant_Visitors,4
0,235.0,4/2/2016,Restaurant_Visitors,5
0,181.0,4/3/2016,Restaurant_Visitors,6
0,92.0,4/4/2016,Restaurant_Visitors,0
0,118.0,4/5/2016,Restaurant_Visitors,1
0,76.0,4/6/2016,Restaurant_Visitors,2
0,88.0,4/7/2016,Restaurant_Visitors,3
0,163.0,4/8/2016,Restaurant_Visitors,4
0,225.0,4/9/2016,Restaurant_Visitors,5
0,163.0,4/10/2016,Restaurant_Visitors,6
0,56.0,4/11/2016,Restaurant_Visitors,0
0,69.0,4/12/2016,Restaurant_Visitors,1
0,67.0,4/13/2016,Restaurant_Visitors,2
0,42.0,4/14/2016,Restaurant_Visitors,3
0,163.0,4/15/2016,Restaurant_Visitors,4
0,175.0,4/16/2016,Restaurant_Visitors,5
0,171.0,4/17/2016,Restaurant_Visitors,6
0,54.0,4/18/2016,Restaurant_Visitors,0
0,81.0,4/19/2016,Restaurant_Visitors,1
0,87.0,4/20/2016,Restaurant_Visitors,2
0,123.0,4/21/2016,Restaurant_Visitors,3
0,143.0,4/22/2016,Restaurant_Visitors,4
0,292.0,4/23/2016,Restaurant_Visitors,5
0,161.0,4/24/2016,Restaurant_Visitors,6
0,74.0,4/25/2016,Restaurant_Visitors,0
0,130.0,4/26/2016,Restaurant_Visitors,1
0,67.0,4/27/2016,Restaurant_Visitors,2
0,135.0,4/28/2016,Restaurant_Visitors,3
0,198.0,4/29/2016,Restaurant_Visitors,4
0,245.0,4/30/2016,Restaurant_Visitors,5
0,215.0,5/1/2016,Restaurant_Visitors,6
0,107.0,5/2/2016,Restaurant_Visitors,0
0,102.0,5/3/2016,Restaurant_Visitors,1
0,108.0,5/4/2016,Restaurant_Visitors,2
1,183.0,5/5/2016,Restaurant_Visitors,3
0,102.0,5/6/2016,Restaurant_Visitors,4
0,177.0,5/7/2016,Restaurant_Visitors,5
1,240.0,5/8/2016,Restaurant_Visitors,6
0,40.0,5/9/2016,Restaurant_Visitors,0
0,60.0,5/10/2016,Restaurant_Visitors,1
0,114.0,5/11/2016,Restaurant_Visitors,2
0,78.0,5/12/2016,Restaurant_Visitors,3
0,119.0,5/13/2016,Restaurant_Visitors,4
0,235.0,5/14/2016,Restaurant_Visitors,5
0,176.0,5/15/2016,Restaurant_Visitors,6
0,56.0,5/16/2016,Restaurant_Visitors,0
0,53.0,5/17/2016,Restaurant_Visitors,1
0,88.0,5/18/2016,Restaurant_Visitors,2
0,77.0,5/19/2016,Restaurant_Visitors,3
0,142.0,5/20/2016,Restaurant_Visitors,4
0,240.0,5/21/2016,Restaurant_Visitors,5
0,159.0,5/22/2016,Restaurant_Visitors,6
0,50.0,5/23/2016,Restaurant_Visitors,0
0,56.0,5/24/2016,Restaurant_Visitors,1
0,123.0,5/25/2016,Restaurant_Visitors,2
0,124.0,5/26/2016,Restaurant_Visitors,3
0,119.0,5/27/2016,Restaurant_Visitors,4
0,254.0,5/28/2016,Restaurant_Visitors,5
0,154.0,5/29/2016,Restaurant_Visitors,6
1,154.0,5/30/2016,Restaurant_Visitors,0
0,76.0,5/31/2016,Restaurant_Visitors,1
0,67.0,6/1/2016,Restaurant_Visitors,2
0,77.0,6/2/2016,Restaurant_Visitors,3
0,99.0,6/3/2016,Restaurant_Visitors,4
0,174.0,6/4/2016,Restaurant_Visitors,5
0,153.0,6/5/2016,Restaurant_Visitors,6
0,73.0,6/6/2016,Restaurant_Visitors,0
0,96.0,6/7/2016,Restaurant_Visitors,1
0,102.0,6/8/2016,Restaurant_Visitors,2
0,109.0,6/9/2016,Restaurant_Visitors,3
0,156.0,6/10/2016,Restaurant_Visitors,4
0,207.0,6/11/2016,Restaurant_Visitors,5
0,186.0,6/12/2016,Restaurant_Visitors,6
0,44.0,6/13/2016,Restaurant_Visitors,0
0,97.0,6/14/2016,Restaurant_Visitors,1
0,86.0,6/15/2016,Restaurant_Visitors,2
0,82.0,6/16/2016,Restaurant_Visitors,3
0,154.0,6/17/2016,Restaurant_Visitors,4
0,220.0,6/18/2016,Restaurant_Visitors,5
1,224.0,6/19/2016,Restaurant_Visitors,6
0,88.0,6/20/2016,Restaurant_Visitors,0
0,89.0,6/21/2016,Restaurant_Visitors,1
0,60.0,6/22/2016,Restaurant_Visitors,2
0,107.0,6/23/2016,Restaurant_Visitors,3
0,157.0,6/24/2016,Restaurant_Visitors,4
0,241.0,6/25/2016,Restaurant_Visitors,5
0,203.0,6/26/2016,Restaurant_Visitors,6
0,76.0,6/27/2016,Restaurant_Visitors,0
0,91.0,6/28/2016,Restaurant_Visitors,1
0,117.0,6/29/2016,Restaurant_Visitors,2
0,86.0,6/30/2016,Restaurant_Visitors,3
0,115.0,7/1/2016,Restaurant_Visitors,4
0,230.0,7/2/2016,Restaurant_Visitors,5
0,174.0,7/3/2016,Restaurant_Visitors,6
1,136.0,7/4/2016,Restaurant_Visitors,0
0,115.0,7/5/2016,Restaurant_Visitors,1
0,130.0,7/6/2016,Restaurant_Visitors,2
0,93.0,7/7/2016,Restaurant_Visitors,3
0,148.0,7/8/2016,Restaurant_Visitors,4
0,242.0,7/9/2016,Restaurant_Visitors,5
0,219.0,7/10/2016,Restaurant_Visitors,6
0,84.0,7/11/2016,Restaurant_Visitors,0
0,80.0,7/12/2016,Restaurant_Visitors,1
0,75.0,7/13/2016,Restaurant_Visitors,2
0,68.0,7/14/2016,Restaurant_Visitors,3
0,118.0,7/15/2016,Restaurant_Visitors,4
0,224.0,7/16/2016,Restaurant_Visitors,5
0,195.0,7/17/2016,Restaurant_Visitors,6
